,id,title,price,mileage,highlight,overview
0,23086101,2020 Porsche Panamera,Price unavailable*,13K miles,"Single Owner
Reported by AutoCheck® View History Report | Low Mileage
Under 20,000 Miles | Well-Equipped
Panoramic Sunroof, A/C Seat(s), Leather Seats, Navigation System, Apple CarPlay","19 city/27 hwy | 6-cyl, Turbo Gas, 3.0L | Rear Wheel Drive | Automatic | White/Black |  | "
1,25080015,2020 Subaru Outback Limited,"$27,998*",38K miles,"Loaded
Automated Cruise Control, 4WD/AWD, Leather Seats, Navigation System, Sunroof(s) | Premium Audio
Harman Kardon Sound | Optional MaxCare® plan
Coverage up to 150000 odometer miles or 60 months Learn More","26 city/33 hwy | 4-cyl, Gas, 2.5L | All Wheel Drive | Automatic | White/Black |  | "
2,25080055,2023 Genesis GV80 3.5T,"$60,998*",8K miles,"Single Owner
Reported by AutoCheck® View History Report | Low Mileage
Under 20,000 Miles | Well-Equipped
A/C Seat(s), 4WD/AWD, Leather Seats, Navigation System, Sunroof(s)","18 city/23 hwy | 6-cyl, Turbo Gas, 3.5L | All Wheel Drive | Automatic | Gray/Black |  | "
3,25124130,2021 Volvo XC90 Recharge PHEV T8 Inscription,Price unavailable*,34K miles,"Single Owner
Reported by AutoCheck® View History Report | New Tires
Replaced 4 tires to meet our standards | Loaded
Panoramic Sunroof, Third Row Seat, A/C Seat(s), Automated Cruise Control, 4WD/AWD","4-cyl, Plug-in Hybrid, 2.0L | All Wheel Drive | Automatic | White/Brown |  | "
4,25316759,2019 Tesla Model 3 Long Range,"$29,998*",39K miles,"New Pair of Tires
Replaced 2 tires to meet our standards | Low Miles Per Year
Less than 9,000 miles per year | Loaded
Automated Cruise Control, 4WD/AWD, Navigation System, Skylight(s), Lane Departure Warning",Electric | All Wheel Drive | Automatic | Blue/White |  | 
5,25317606,2019 Jaguar F-Pace 30t Prestige,"$27,998*",53K miles,"Loaded
Panoramic Sunroof, A/C Seat(s), Automated Cruise Control, 4WD/AWD, Leather Seats | Manufacturer Warranty
Balance of 5 Years or 60,000 Miles may apply. See store for details Learn More | Premium Audio
Meridian Audio","22 city/27 hwy | 4-cyl, Turbo Gas, 2.0L | All Wheel Drive | Automatic | Blue/Cream |  | "
6,25344116,2017 Mercedes-Benz SLC300,"$27,998*",46K miles,"New Tires
Replaced 4 tires to meet our standards | Low Miles Per Year
Less than 9,000 miles per year | Loaded
Hard Top, Navigation System, Skylight(s), Apple CarPlay, Leatherette Seats","25 city/32 hwy | 4-cyl, Turbo Gas, 2.0L | Rear Wheel Drive | Automatic | White/Burgundy |  | "
7,25276933,2019 Chevrolet Silverado 1500 RST,"$36,998*",34K miles,"Low Miles Per Year
Less than 9,000 miles per year | Well-Equipped
Apple CarPlay, Running Boards, Heated Steering Wheel, Rear View Camera, Remote Start | Optional MaxCare® plan
Coverage up to 150000 odometer miles or 60 months Learn More","17 city | 8-cyl, Gas, 5.3L | Rear Wheel Drive | Automatic | 5.5 ft | Gray/Gray |  | "
8,25040396,2020 Volkswagen Golf TSI,"$21,998*",14K miles,"Single Owner
Reported by AutoCheck® View History Report | Low Mileage
Under 20,000 Miles | Well-Equipped
Panoramic Sunroof, Apple CarPlay, Leatherette Seats, Blind Spot Monitor, Rear View Camera","4-cyl, Turbo Gas, 1.4L | Front Wheel Drive | Automatic | White/Black |  | "
9,25344234,2018 Acura MDX,Price unavailable*,75K miles,"Single Owner
Reported by AutoCheck® View History Report | Loaded
Third Row Seat, Automated Cruise Control, 4WD/AWD, Navigation System, Sunroof(s) | Optional MaxCare® plan
Coverage up to 150000 odometer miles or 48 months Learn More","18 city/26 hwy | 6-cyl, Gas, 3.5L | All Wheel Drive | Automatic | Blue/Gray |  | "
10,25306925,2017 Jeep Cherokee Sport,"$19,998*",16K miles,"Single Owner
Reported by AutoCheck® View History Report | New Pair of Tires
Replaced 2 tires to meet our standards | Low Mileage
Under 20,000 Miles","21 city/30 hwy | 4-cyl, Gas, 2.4L | Front Wheel Drive | Automatic | Black/Black |  | "
11,25344642,2014 Toyota Sienna XLE,"$23,998*",64K miles,"Single Owner
Reported by AutoCheck® View History Report | Low Miles Per Year
Less than 9,000 miles per year | Well-Equipped
Third Row Seat, Leather Seats, Navigation System, Sunroof(s), Parking Sensors","18 city/25 hwy | 6-cyl, Gas, 3.5L | Front Wheel Drive | Automatic | Gray/Taupe |  | "
12,25344926,2022 Toyota Tundra Limited,"$58,998*",8K miles,"Single Owner
Reported by AutoCheck® View History Report | Low Mileage
Under 20,000 Miles | Loaded
A/C Seat(s), Automated Cruise Control, 4WD/AWD, Navigation System, Apple CarPlay","17 city/22 hwy | 6-cyl, Turbo Gas, 3.5L | Four Wheel Drive | Automatic | White/Gray | None | "
