,id,title,price,mileage,highlight,overview
0,25223189,2017 Volkswagen Passat R-Line,Price unavailable*,78K miles,"Well-Equipped
Leatherette Seats, Blind Spot Monitor, Rear View Camera, Front Seat Heaters, Turbo charged engine | Optional MaxCare® plan
Coverage up to 125000 odometer miles or 48 months Learn More","23 city/34 hwy | 4-cyl, Turbo Gas, 1.8L | Front Wheel Drive | Automatic | Silver/Black |  | "
1,25000146,2015 Volkswagen GTI SE,"$16,998*",87K miles,,"25 city/33 hwy | 4-cyl, Turbo Gas, 2.0L | Front Wheel Drive | Automatic | Red/Black |  | "
2,25050502,2018 Toyota Highlander XLE,"$23,998*",124K miles,,"20 city/26 hwy | 6-cyl, Gas, 3.5L | All Wheel Drive | Automatic | Gray/Gray |  | "
3,25583526,2018 Acura MDX Advance,Price unavailable*,70K miles,,"19 city/26 hwy | 6-cyl, Gas, 3.5L | All Wheel Drive | Automatic | White/Brown |  | "
4,24452463,2017 Honda Accord Hybrid,Price unavailable*,42K miles,,"49 city/47 hwy | 4-cyl, Hybrid, 2.0L | Front Wheel Drive | Automatic | Burgundy/Cream |  | "
5,25316725,2019 Ford F150 XLT,"$30,998*",52K miles,,"18 city/23 hwy | 6-cyl, Gas, 3.3L | Four Wheel Drive | Automatic | Silver/Black |  | "
6,25583427,2018 Toyota RAV4 Hybrid Limited,Price unavailable*,67K miles,,"34 city/30 hwy | 4-cyl, Hybrid, 2.5L | All Wheel Drive | Automatic | Pearl/Gray |  | "
7,25277173,2017 Mercedes-Benz C300,"$18,998*",69K miles,,"24 city/34 hwy | 4-cyl, Turbo Gas, 2.0L | Rear Wheel Drive | Automatic | Black/Black |  | "
8,25560172,2020 Honda CR-V Touring,"$29,998*",28K miles,,"28 city/34 hwy | 4-cyl, Turbo Gas, 1.5L | Front Wheel Drive | Automatic | White/Black |  | "
9,25516359,2018 Volkswagen Tiguan SEL,Price unavailable*,38K miles,,"22 city/27 hwy | 4-cyl, Turbo Gas, 2.0L | Front Wheel Drive | Automatic | Black/Black |  | "
10,25277285,2019 Ram 1500 Bighorn,Price unavailable*,12K miles,,"15 city/22 hwy | 8-cyl, Gas, 5.7L | Four Wheel Drive | Automatic | 5.5 ft | White/Gray |  | "
11,25493447,2017 Ford Escape SE,Price unavailable*,85K miles,,"23 city/30 hwy | 4-cyl, Turbo Gas, 1.5L | Front Wheel Drive | Automatic | Burgundy/Gray |  | "
12,25276932,2015 Hyundai Sonata Sport,Price unavailable*,113K miles,,"24 city/35 hwy | 4-cyl, Gas, 2.4L | Front Wheel Drive | Automatic | White/Gray |  | "
13,25583278,2014 Buick Enclave Premium,"$16,998*",88K miles,,"16 city/22 hwy | 6-cyl, Gas, 3.6L | All Wheel Drive | Automatic | Pearl/Tan |  | "
14,25583391,2019 Mazda CX-5 Grand Touring,"$24,998*",27K miles,,"25 city/31 hwy | 4-cyl, Gas, 2.5L | Front Wheel Drive | Automatic | Red/Black |  | "
15,25223923,2017 Kia Optima Plug in Hybrid EX,Price unavailable*,56K miles,,"4-cyl, Plug-in Hybrid, 2.0L | Front Wheel Drive | Automatic | Black/Gray |  | "
16,25472430,2022 Kia K5 GT-Line,"$27,998*",32K miles,,"4-cyl, Turbo Gas, 1.6L | Front Wheel Drive | Automatic | White/Red |  | "
17,25472474,2020 Kia Soul LX,"$17,998*",28K miles,,"29 city/35 hwy | 4-cyl, Gas, 2.0L | Front Wheel Drive | Automatic | Gray/Gray |  | "
18,23338237,2019 Audi e-tron Premium Plus,"$33,998*",30K miles,,Electric | All Wheel Drive | Automatic | Gray/Black |  | 
19,25583325,2020 GMC Sierra 1500 SLT,"$45,998*",15K miles,,"16 city/22 hwy | 8-cyl, Gas, 5.3L | Four Wheel Drive | Automatic | 5.5 ft | Silver/Black |  | "
20,25276999,2021 Kia Seltos SX,Price unavailable*,41K miles,,"25 city/30 hwy | 4-cyl, Turbo Gas, 1.6L | All Wheel Drive | Automatic | Gray/Black |  | "
21,25563121,2022 Nissan Kicks SV,Price unavailable*,15K miles,,"31 city/36 hwy | 4-cyl, Gas, 1.6L | Front Wheel Drive | Automatic | Gray/Black |  | "
22,25583298,2016 Honda Civic EX,"$19,998*",47K miles,,"31 city/41 hwy | 4-cyl, Gas, 2.0L | Front Wheel Drive | Automatic | Silver/Black |  | "
23,25626433,2019 Ford Escape SEL,"$18,998*",59K miles,,"23 city/30 hwy | 4-cyl, Turbo Gas, 1.5L | Front Wheel Drive | Automatic | Black/Gray |  | "
24,25372109,2023 Kia Seltos S,Price unavailable*,31K miles,,"4-cyl, Gas, 2.0L | Front Wheel Drive | Automatic | Gray/Black |  | "
25,25562643,2020 Kia Niro EX Premium,"$26,998*",21K miles,,"51 city/46 hwy | 4-cyl, Hybrid, 1.6L | Front Wheel Drive | Automatic | Blue/Black |  | "
26,25561744,2020 Toyota Sienna LE,Price unavailable*,20K miles,,"19 city/26 hwy | 6-cyl, Gas, 3.5L | Front Wheel Drive | Automatic | Silver/Gray |  | "
27,25124835,2016 GMC Yukon Denali,"$49,998*",20K miles,,"15 city/21 hwy | 8-cyl, Gas, 6.2L | Four Wheel Drive | Automatic | White/Tan |  | "
28,25371957,2019 Audi Q5 Premium,Price unavailable*,36K miles,,"22 city/27 hwy | 4-cyl, Turbo Gas, 2.0L | All Wheel Drive | Automatic | Black/Black |  | "
29,25562598,2020 Hyundai Ioniq Plug-In-Hybrid SE,Price unavailable*,25K miles,,"4-cyl, Plug-in Hybrid, 1.6L | Front Wheel Drive | Automatic | White/Gray |  | "
30,25317560,2013 Toyota Prius Two,"$15,998*",72K miles,,"51 city/48 hwy | 4-cyl, Hybrid, 1.8L | Front Wheel Drive | Automatic | Silver/Gray |  | "
31,25471737,2021 BMW X3 Plug In Hybrid xDrive30e,"$35,998*",22K miles,,"4-cyl, Plug-in Hybrid, 2.0L | All Wheel Drive | Automatic | Black/Black |  | "
32,25471753,2021 BMW X3 sDrive30i,"$29,998*",38K miles,,"4-cyl, Turbo Gas, 2.0L | Rear Wheel Drive | Automatic | White/Black |  | "
33,25372534,2020 BMW X5 sDrive40i,"$39,998*",30K miles,,"21 city/26 hwy | 6-cyl, Turbo Gas, 3.0L | Rear Wheel Drive | Automatic | Purple/Brown |  | "
34,25398421,2019 Honda Pilot EX-L,Price unavailable*,30K miles,,"19 city/27 hwy | 6-cyl, Gas, 3.5L | Front Wheel Drive | Automatic | Black/Black |  | "
35,25268704,2020 Infiniti QX60 Signature Edition,Price unavailable*,28K miles,,"19 city/26 hwy | 6-cyl, Gas, 3.5L | All Wheel Drive | Automatic | Gray/Gray |  | "
