,id,title,price,mileage,highlight,overview
0,25486007,2022 Nissan Pathfinder SL,Price unavailable*,23K miles,,"21 city/26 hwy | 6-cyl, Gas, 3.5L | Front Wheel Drive | Automatic | Blue/Black |  | "
1,25379438,2016 Lexus RX 350,"$26,998*",50K miles,,"20 city/27 hwy | 6-cyl, Gas, 3.5L | Front Wheel Drive | Automatic | Silver/Gray |  | "
2,25052470,2020 Toyota RAV4 XLE,Price unavailable*,68K miles,,"28 city | 4-cyl, Gas, 2.5L | Front Wheel Drive | Automatic | Gray/Gray |  | "
3,25486391,2016 Kia Rio5 LX,"$14,998*",30K miles,,"27 city/37 hwy | 4-cyl, Gas, 1.6L | Front Wheel Drive | Automatic | White/Black |  | "
4,25229265,2022 Toyota 4Runner TRD Off Road Premium,"$39,998*",35K miles,,"6-cyl, Gas, 4.0L | Four Wheel Drive | Automatic | Gray/Black |  | "
5,25215470,2019 Subaru Ascent Touring,"$29,998*",54K miles,,"20 city/26 hwy | 4-cyl, Turbo Gas, 2.4L | All Wheel Drive | Automatic | White/Brown |  | "
6,25515634,2022 Honda Civic Sport,"$25,998*",21K miles,,"30 city/37 hwy | 4-cyl, Gas, 2.0L | Front Wheel Drive | Automatic | Silver/Black |  | "
7,25515695,2020 Chevrolet Silverado 2500 LT,"$49,998*",49K miles,,"8-cyl, Turbo Diesel, 6.6L | Four Wheel Drive | Automatic | 6.5 ft | White/Black |  | "
8,25398322,2023 Toyota Corolla LE,"$24,998*",1K miles,,"4-cyl, Gas, 2.0L | Front Wheel Drive | Automatic | White/Black |  | "
9,24971505,2019 Ford F250 XLT,"$48,998*",66K miles,,"8-cyl, Turbo Diesel, 6.7L | Four Wheel Drive | Automatic | White/Gray |  | "
10,25486260,2021 Mazda CX-5 Touring,"$24,998*",34K miles,,"25 city/31 hwy | 4-cyl, Gas, 2.5L | Front Wheel Drive | Automatic | White/Black |  | "
11,25398153,2022 Audi Q3 Premium Plus,"$31,998*",16K miles,,"4-cyl, Turbo Gas, 2.0L | All Wheel Drive | Automatic | Black/Black |  | "
