,id,title,price,mileage,highlight,overview
0,24713267,2018 GMC Sierra 1500 SLT,Price unavailable*,78K miles,,"16 city/22 hwy | 8-cyl, Gas, 5.3L | Four Wheel Drive | Automatic | 5.5 ft | White/Black |  | "
1,24759966,2022 Ford F350 King Ranch,Price unavailable*,41K miles,,"8-cyl, Gas, 7.3L | Four Wheel Drive | Automatic | White/Brown |  | "
2,24919419,2018 Ram 1500 Tradesman,Price unavailable*,52K miles,,"19 city/27 hwy | 6-cyl, Turbo Diesel, 3.0L | Four Wheel Drive | Automatic | 6 ft | White/Gray |  | "
3,25211305,2021 BMW X5 xDrive40i,Price unavailable*,28K miles,,"6-cyl, Turbo Gas, 3.0L | All Wheel Drive | Automatic | Black/Tan |  | "
4,24706539,2019 Cadillac CT6 Sport,"$38,998*",39K miles,,"18 city/26 hwy | 6-cyl, Turbo Gas, 3.0L | All Wheel Drive | Automatic | White/Black |  | "
5,24900842,2018 Honda Accord Sport,Price unavailable*,46K miles,,"22 city/32 hwy | 4-cyl, Turbo Gas, 2.0L | Front Wheel Drive | Automatic | Black/Black |  | "
6,24333374,2023 Tesla Model 3 Performance,"$44,998*",11K miles,,Electric | All Wheel Drive | Automatic | Pearl/White |  | 
7,25493586,2021 Chevrolet Silverado 1500 LT Trail Boss,"$52,998*",6K miles,,"8-cyl, Gas, 5.3L | Four Wheel Drive | Automatic | 5.5 ft | Blue/Gray |  | "
8,25224228,2019 Nissan Rogue S,Price unavailable*,40K miles,,"25 city/32 hwy | 4-cyl, Gas, 2.5L | All Wheel Drive | Automatic | White/Black |  | "
9,24825606,2019 Toyota Camry SE,"$23,998*",51K miles,,"28 city/39 hwy | 4-cyl, Gas, 2.5L | Front Wheel Drive | Automatic | Black/Black |  | "
10,25223204,2019 Audi A4 Premium Plus,"$28,998*",22K miles,,"23 city/34 hwy | 4-cyl, Turbo Gas, 2.0L | All Wheel Drive | Automatic | White/Gray |  | "
11,25306635,2022 Toyota RAV4 LE,"$27,998*",37K miles,,"27 city/34 hwy | 4-cyl, Gas, 2.5L | All Wheel Drive | Automatic | Black/Tan |  | "
12,25217242,2023 Honda Accord EX,"$29,998*",3K miles,,"29 city/37 hwy | 4-cyl, Turbo Gas, 1.5L | Front Wheel Drive | Automatic | Gray/Black |  | "
13,25344138,2017 Nissan Sentra SL,Price unavailable*,24K miles,,"29 city/37 hwy | 4-cyl, Gas, 1.8L | Front Wheel Drive | Automatic | Black/Black |  | "
