id,title,price,mileage,highlight,overview
25079507.0,2022 Volkswagen Taos SE,Price unavailable*,59K miles,,"25 city/32 hwy | 4-cyl, Turbo Gas, 1.5L | All Wheel Drive | Automatic | Gray/Gray |  | "
25215944.0,2019 Jaguar F-Pace 25t Prestige,"$26,998*",43K miles,,"22 city/27 hwy | 4-cyl, Turbo Gas, 2.0L | All Wheel Drive | Automatic | White/Black |  | "
25317279.0,2020 Honda Odyssey EX-L,"$28,998*",50K miles,,"19 city/28 hwy | 6-cyl, Gas, 3.5L | Front Wheel Drive | Automatic | White/Black |  | "
25305951.0,2022 Toyota Corolla SE,"$23,998*",21K miles,,"31 city/40 hwy | 4-cyl, Gas, 2.0L | Front Wheel Drive | Automatic | White/Black |  | "
25124741.0,2022 Lexus UX 250h F-Sport,Price unavailable*,52K miles,,"41 city/38 hwy | 4-cyl, Hybrid, 2.0L | All Wheel Drive | Automatic | Silver/Red |  | "
25317233.0,2019 Buick Envision Preferred,Price unavailable*,31K miles,,"22 city/29 hwy | 4-cyl, Gas, 2.5L | Front Wheel Drive | Automatic | Gray/Cream |  | "
25344858.0,2019 Subaru Impreza Sport,"$22,998*",43K miles,,"27 city/35 hwy | 4-cyl, Gas, 2.0L | All Wheel Drive | Automatic | Gray/Black |  | "
25345001.0,2018 Hyundai Elantra Sport,"$19,998*",31K miles,"Single Owner
Reported by AutoCheck® View History Report | Low Miles Per Year
Less than 9,000 miles per year | Loaded
Leather Seats, Navigation System, Sunroof(s), Apple CarPlay, Blind Spot Monitor","26 city/33 hwy | 4-cyl, Turbo Gas, 1.6L | Front Wheel Drive | Automatic | Blue/Black |  | "
25079748.0,2021 Kia Soul LX,"$18,998*",25K miles,"Single Owner
Reported by AutoCheck® View History Report | New Pair of Tires
Replaced 2 tires to meet our standards | Low Miles Per Year
Less than 9,000 miles per year","28 city/33 hwy | 4-cyl, Gas, 2.0L | Front Wheel Drive | Automatic | Black/Gray | None | "
25400261.0,2018 Toyota RAV4 Hybrid SE,Price unavailable*,46K miles,"Single Owner
Reported by AutoCheck® View History Report | Low Miles Per Year
Less than 9,000 miles per year | Loaded
Automated Cruise Control, 4WD/AWD, Navigation System, Sunroof(s), Lane Departure Warning","34 city/30 hwy | 4-cyl, Hybrid, 2.5L | All Wheel Drive | Automatic | Gray/Gray |  | "
24934405.0,2023 Hyundai Elantra Limited,Price unavailable*,8K miles,"Single Owner
Reported by AutoCheck® View History Report | Low Mileage
Under 20,000 Miles | Loaded
Automated Cruise Control, Leather Seats, Navigation System, Sunroof(s), Apple CarPlay","30 city/40 hwy | 4-cyl, Gas, 2.0L | Front Wheel Drive | Automatic | Gray/Black |  | "
25040258.0,2024 Subaru Crosstrek Premium,Price unavailable*,10K miles,"Single Owner
Reported by AutoCheck® View History Report | Low Mileage
Under 20,000 Miles | Well-Equipped
Automated Cruise Control, 4WD/AWD, Apple CarPlay, Lane Departure Warning, Rear View Camera","4-cyl, Gas, 2.0L | All Wheel Drive | Automatic | Blue/Gray |  | "
25040387.0,2017 Volkswagen Passat R-Line,"$15,998*",94K miles,"New Pair of Tires
Replaced 2 tires to meet our standards | Well-Equipped
Apple CarPlay, Leatherette Seats, Blind Spot Monitor, Rear View Camera, Front Seat Heaters | Optional MaxCare® plan
Coverage up to 150000 odometer miles or 36 months Learn More","23 city/34 hwy | 4-cyl, Turbo Gas, 1.8L | Front Wheel Drive | Automatic | White/Black |  | "
24762012.0,2015 Jeep Cherokee Limited,"$19,998*",69K miles,"Single Owner
Reported by AutoCheck® View History Report | Low Miles Per Year
Less than 9,000 miles per year | Loaded
Panoramic Sunroof, A/C Seat(s), Automated Cruise Control, 4WD/AWD, Leather Seats","21 city/28 hwy | 6-cyl, Gas, 3.2L | Four Wheel Drive | Automatic | White/Black | None | "
25344345.0,2014 Mercedes-Benz ML350,"$19,998*",59K miles,"Low Miles Per Year
Less than 9,000 miles per year | Well-Equipped
Sunroof(s), Leatherette Seats, Front Seat Heaters, Bluetooth Technology, Power Hatch/Deck Lid | Optional MaxCare® plan
Coverage up to 125000 odometer miles or 60 months Learn More","18 city/24 hwy | 6-cyl, Gas, 3.5L | Rear Wheel Drive | Automatic | White/Black |  | "
25000276.0,2018 Toyota Camry LE,Price unavailable*,36K miles,"Single Owner
Reported by AutoCheck® View History Report | Low Miles Per Year
Less than 9,000 miles per year | Well-Equipped
Automated Cruise Control, Lane Departure Warning, Rear View Camera, Bluetooth Technology, Alloy Wheels","28 city/39 hwy | 4-cyl, Gas, 2.5L | Front Wheel Drive | Automatic | Gray/Black | Loaner, Executive vehicle | "
25040202.0,2018 Subaru Outback 2.5I Premium,Price unavailable*,37K miles,"Low Miles Per Year
Less than 9,000 miles per year | Loaded
Automated Cruise Control, 4WD/AWD, Navigation System, Sunroof(s), Apple CarPlay | Optional MaxCare® plan
Coverage up to 150000 odometer miles or 60 months Learn More","25 city/32 hwy | 4-cyl, Gas, 2.5L | All Wheel Drive | Automatic | Black/Tan |  | "
25305773.0,2022 Tesla Model 3,"$31,998*",19K miles,"Single Owner
Reported by AutoCheck® View History Report | Low Mileage
Under 20,000 Miles | Well-Equipped
Automated Cruise Control, Navigation System, Skylight(s), Heated Steering Wheel, Lane Departure Warning",Electric | Rear Wheel Drive | Automatic | White/Black |  | 
24999601.0,2016 Mini Cooper Countryman S,"$17,998*",48K miles,"Single Owner
Reported by AutoCheck® View History Report | Low Miles Per Year
Less than 9,000 miles per year | Well-Equipped
Panoramic Sunroof, Leatherette Seats, Run Flat Tires, Turbo charged engine, Harman Kardon Sound","26 city/32 hwy | 4-cyl, Turbo Gas, 1.6L | Front Wheel Drive | Automatic | Gray/Black |  | "
24971525.0,2019 Toyota Tundra SR5,"$40,998*",36K miles,"Low Miles Per Year
Less than 9,000 miles per year | Well-Equipped
Automated Cruise Control, 4WD/AWD, Lane Departure Warning, Rear View Camera, Bluetooth Technology | Optional MaxCare® plan
Coverage up to 150000 odometer miles or 60 months Learn More","13 city/17 hwy | 8-cyl, Gas, 5.7L | Four Wheel Drive | Automatic | White/Gray |  | "
25040519.0,2020 Subaru Ascent Limited,"$29,998*",52K miles,"Loaded
Panoramic Sunroof, Third Row Seat, Automated Cruise Control, 4WD/AWD, Leather Seats | Premium Audio
Harman Kardon Sound | Optional MaxCare® plan
Coverage up to 150000 odometer miles or 60 months Learn More","20 city/26 hwy | 4-cyl, Turbo Gas, 2.4L | All Wheel Drive | Automatic | White/Black |  | "
24915526.0,2018 Volkswagen Atlas SE,"$23,998*",40K miles,"Single Owner
Reported by AutoCheck® View History Report | New Pair of Tires
Replaced 2 tires to meet our standards | Low Miles Per Year
Less than 9,000 miles per year","18 city/25 hwy | 6-cyl, Gas, 3.6L | Front Wheel Drive | Automatic | Red/Black |  | "
25344330.0,2023 Kia Niro EX,Price unavailable*,9K miles,"Single Owner
Reported by AutoCheck® View History Report | Low Mileage
Under 20,000 Miles | Well-Equipped
Automated Cruise Control, Navigation System, Apple CarPlay, Lane Departure Warning, Parking Sensors","53 city/45 hwy | 4-cyl, Hybrid, 1.6L | Front Wheel Drive | Automatic | Black/Black |  | "
25305999.0,2019 Audi A8 L,Price unavailable*,40K miles,"Low Miles Per Year
Less than 9,000 miles per year | Loaded
Panoramic Sunroof, A/C Seat(s), Automated Cruise Control, 4WD/AWD, Leather Seats | Premium Audio
Bang & Olufsen Audio","19 city/27 hwy | 6-cyl, Turbo Gas, 3.0L | All Wheel Drive | Automatic | Black/Cream |  | "
25344371.0,2015 Hyundai Sonata SE,"$13,599*",78K miles,"New Pair of Tires
Replaced 2 tires to meet our standards | Low Miles Per Year
Less than 9,000 miles per year | The Basics
Bluetooth Technology, Alloy Wheels, Rear Spoiler, Cloth Seats, Cruise Control","25 city/37 hwy | 4-cyl, Gas, 2.4L | Front Wheel Drive | Automatic | Blue/Tan |  | "
25585605.0,2021 Jeep Compass Limited,Price unavailable*,30K miles,"New Tires
Replaced 4 tires to meet our standards | Loaded
Panoramic Sunroof, Automated Cruise Control, 4WD/AWD, Leather Seats, Apple CarPlay | Manufacturer Warranty
Balance of 3 Years or 36,000 Miles may apply. See store for details Learn More","4-cyl, Gas, 2.4L | Four Wheel Drive | Automatic | White/Black | None | "
25317647.0,2019 Audi Q7 Premium Plus,"$32,998*",38K miles,"Single Owner
Reported by AutoCheck® View History Report | Low Miles Per Year
Less than 9,000 miles per year | Loaded
Panoramic Sunroof, Third Row Seat, A/C Seat(s), 4WD/AWD, Leather Seats","19 city/25 hwy | 4-cyl, Turbo Gas, 2.0L | All Wheel Drive | Automatic | White/Black |  | "
25040406.0,2017 Nissan Altima SV,Price unavailable*,49K miles,"Single Owner
Reported by AutoCheck® View History Report | New Tires
Replaced 4 tires to meet our standards | Low Miles Per Year
Less than 9,000 miles per year","27 city/39 hwy | 4-cyl, Gas, 2.5L | Front Wheel Drive | Automatic | White/Black |  | "
24985875.0,2021 Mercedes-Benz GLE350,"$45,998*",38K miles,,"19 city/26 hwy | 4-cyl, Turbo Gas, 2.0L | All Wheel Drive | Automatic | Red/Cream |  | "
25317844.0,2019 Honda CR-V EX,Price unavailable*,58K miles,,"27 city/33 hwy | 4-cyl, Turbo Gas, 1.5L | All Wheel Drive | Automatic | White/Black |  | "
24998910.0,2016 Mercedes-Benz GLA250,Price unavailable*,70K miles,,"25 city/35 hwy | 4-cyl, Turbo Gas, 2.0L | Front Wheel Drive | Automatic | Gray/Black |  | "
25317486.0,2023 Honda CR-V Hybrid Sport,"$38,998*",3K miles,,"40 city/34 hwy | 4-cyl, Hybrid, 2.0L | All Wheel Drive | Automatic | Gray/Black |  | "
25010986.0,2018 Audi A5 Premium Plus,"$25,998*",49K miles,,"24 city/34 hwy | 4-cyl, Turbo Gas, 2.0L | All Wheel Drive | Automatic | Gray/Black |  | "
25344927.0,2018 Tesla Model S P100D,Price unavailable*,75K miles,,Electric | All Wheel Drive | Automatic | Black/Black |  | 
25277312.0,2019 Ford Fiesta SE,"$13,998*",47K miles,,"27 city/35 hwy | 4-cyl, Gas, 1.6L | Front Wheel Drive | Manual 5 Speed | Red/Black |  | "
25316912.0,2019 Volkswagen Jetta R-Line,"$20,998*",15K miles,,"30 city/40 hwy | 4-cyl, Turbo Gas, 1.4L | Front Wheel Drive | Automatic | Gray/Cream |  | "
25516402.0,2020 Subaru Forester Sport,"$28,998*",30K miles,,"26 city/33 hwy | 4-cyl, Gas, 2.5L | All Wheel Drive | Automatic | Blue/Gray |  | "
25040264.0,2018 Acura MDX,Price unavailable*,59K miles,,"18 city/26 hwy | 6-cyl, Gas, 3.5L | All Wheel Drive | Automatic | White/Tan |  | "
23252616.0,2020 Honda Civic LX,"$21,998*",49K miles,,"30 city/38 hwy | 4-cyl, Gas, 2.0L | Front Wheel Drive | Automatic | Gray/Gray |  | "
25079857.0,2014 Ford Focus SE,"$11,998*",64K miles,,"26 city/36 hwy | 4-cyl, Gas, 2.0L | Automatic | Silver/Black |  | "
25459425.0,2020 Land Rover Range Rover Evoque S,"$29,998*",43K miles,,"20 city/27 hwy | 4-cyl, Turbo Gas, 2.0L | All Wheel Drive | Automatic | White/Tan |  | "
24915584.0,2021 BMW X7 xDrive40i,"$57,998*",27K miles,,"19 city | 6-cyl, Turbo Gas, 3.0L | All Wheel Drive | Automatic | Gray/Black |  | "
25040227.0,2021 Ford F250 Lariat,Price unavailable*,56K miles,,"8-cyl, Turbo Diesel, 6.7L | Four Wheel Drive | Automatic | White/Black |  | "
25088422.0,2013 Lexus RX 450h,"$23,998*",69K miles,,"30 city/28 hwy | 6-cyl, Hybrid, 3.5L | All Wheel Drive | Automatic | Black/Black |  | "
25516422.0,2016 Mazda Mazda6 I Touring,Price unavailable*,13K miles,,"26 city/38 hwy | 4-cyl, Gas, 2.5L | Front Wheel Drive | Automatic | Red/Black |  | "
25493192.0,2020 Nissan Versa SR,"$18,998*",20K miles,,"32 city/40 hwy | 4-cyl, Gas, 1.6L | Front Wheel Drive | Automatic | White/Black |  | "
25306309.0,2013 Subaru Outback 3.6R Limited,"$19,998*",68K miles,,"18 city/25 hwy | 6-cyl, Gas, 3.6L | All Wheel Drive | Automatic | Green/Gray |  | "
25079811.0,2019 Ford Fiesta SE,"$14,998*",52K miles,,"27 city/35 hwy | 4-cyl, Gas, 1.6L | Automatic | White/Black |  | "
25079891.0,2020 Honda Ridgeline RTL-E,"$33,998*",39K miles,,"19 city/24 hwy | 6-cyl, Gas, 3.5L | All Wheel Drive | Automatic | Black/Black |  | "
25516037.0,2020 Acura RDX Technology,Price unavailable*,20K miles,,"22 city/28 hwy | 4-cyl, Turbo Gas, 2.0L | Front Wheel Drive | Automatic | White/Black |  | "
25079878.0,2020 Ford Edge SEL,"$25,998*",18K miles,,"21 city/29 hwy | 4-cyl, Turbo Gas, 2.0L | Front Wheel Drive | Automatic | Gray/Black |  | "
25305838.0,2020 Hyundai Kona SE,Price unavailable*,43K miles,,"27 city/33 hwy | 4-cyl, Gas, 2.0L | Front Wheel Drive | Automatic | Silver/Gray |  | "
25079929.0,2021 Subaru Outback,"$24,998*",44K miles,,"4-cyl, Gas, 2.5L | All Wheel Drive | Automatic | Black/Black |  | "
25306030.0,2019 Honda Civic LX,"$18,998*",72K miles,,"30 city/38 hwy | 4-cyl, Gas, 2.0L | Front Wheel Drive | Automatic | Gray/Black |  | "
25516660.0,2014 Honda Accord EX-L,Price unavailable*,55K miles,,"21 city/34 hwy | 6-cyl, Gas, 3.5L | Front Wheel Drive | Automatic | Gray/Gray |  | "
25246080.0,2019 Acura MDX,"$29,998*",41K miles,,"19 city/26 hwy | 6-cyl, Gas, 3.5L | All Wheel Drive | Automatic | Silver/Black |  | "
25182412.0,2023 Mercedes-Benz GLC43 AMG Coupe,"$62,998*",1K miles,,"6-cyl, Turbo Gas, 3.0L | All Wheel Drive | Automatic | Blue/Black |  | "
25344515.0,2016 Infiniti QX60,Price unavailable*,58K miles,,"19 city/26 hwy | 6-cyl, Gas, 3.5L | All Wheel Drive | Automatic | Gray/Black |  | "
25515698.0,2021 Toyota Corolla LE,"$19,998*",43K miles,,"4-cyl, Gas, 1.8L | Front Wheel Drive | Automatic | White/Black |  | "
25317596.0,2020 Ford Escape SE,"$20,998*",18K miles,,"27 city/33 hwy | 3-cyl, Turbo Gas, 1.5L | Front Wheel Drive | Automatic | Silver/Gray |  | "
25079768.0,2018 GMC Terrain SLT,"$20,998*",50K miles,,"24 city/28 hwy | 4-cyl, Turbo Gas, 2.0L | All Wheel Drive | Automatic | Black/Black |  | "
24863396.0,2021 Subaru Crosstrek PHEV,"$29,998*",50K miles,,"4-cyl, Plug-in Hybrid, 2.0L | All Wheel Drive | Automatic | White/Black |  | "
25079683.0,2017 BMW 330 I,Price unavailable*,52K miles,,"23 city/34 hwy | 4-cyl, Turbo Gas, 2.0L | Rear Wheel Drive | Automatic | Silver/Black |  | "
25515696.0,2018 Hyundai Tucson Value,"$20,998*",34K miles,,"25 city/30 hwy | 4-cyl, Turbo Gas, 1.6L | Front Wheel Drive | Automatic | White/Gray |  | "
25516479.0,2021 Lexus NX 300 Luxury,Price unavailable*,15K miles,,"4-cyl, Turbo Gas, 2.0L | All Wheel Drive | Automatic | Gray/Red |  | "
25082422.0,2021 Porsche Taycan Electric,Price unavailable*,15K miles,,Electric | Rear Wheel Drive | Automatic | Black/Black |  | 
24915471.0,2022 Land Rover Range Rover Sport HSE Dynamic,Price unavailable*,23K miles,,"8-cyl, Supercharged Gas, 5.0L | Four Wheel Drive | Automatic | Silver/Tan |  | "
25344262.0,2020 Kia Stinger GT-Line,"$21,998*",97K miles,,"21 city/29 hwy | 4-cyl, Turbo Gas, 2.0L | All Wheel Drive | Automatic | Blue/Black |  | "
25345005.0,2022 Mercedes-Benz GLC300,"$38,998*",8K miles,,"4-cyl, Turbo Gas, 2.0L | Rear Wheel Drive | Automatic | White/Tan |  | "
25516445.0,2019 Toyota Camry Hybrid SE,Price unavailable*,65K miles,,"44 city/47 hwy | 4-cyl, Hybrid, 2.5L | Front Wheel Drive | Automatic | Gray/Black |  | "
25344793.0,2018 Honda Odyssey Elite,"$35,998*",25K miles,,"19 city/28 hwy | 6-cyl, Gas, 3.5L | Front Wheel Drive | Automatic | Gray/Gray |  | "
24921275.0,2022 Mercedes-Benz GLE350,"$54,998*",20K miles,,"4-cyl, Turbo Gas, 2.0L | All Wheel Drive | Automatic | White/Tan |  | "
25316249.0,2019 Kia Niro EX,"$22,998*",36K miles,,"51 city/46 hwy | 4-cyl, Hybrid, 1.6L | Front Wheel Drive | Automatic | Blue/Black |  | "
25316999.0,2018 Kia Forte EX,"$16,998*",37K miles,,"25 city/33 hwy | 4-cyl, Gas, 2.0L | Front Wheel Drive | Automatic | Gray/Black |  | "
25344770.0,2022 Subaru Crosstrek Sport,"$27,998*",26K miles,,"27 city/34 hwy | 4-cyl, Gas, 2.5L | All Wheel Drive | Automatic | White/Black |  | "
25316884.0,2018 Mazda CX-5 Grand Touring,Price unavailable*,40K miles,,"24 city/30 hwy | 4-cyl, Gas, 2.5L | All Wheel Drive | Automatic | White/Black |  | "
25276938.0,2018 Ram 2500 SLT,Price unavailable*,51K miles,,"8-cyl, Gas, 6.4L | Rear Wheel Drive | Automatic | 6 ft | White/Gray |  | "
25471129.0,2021 Audi Q7 Premium Plus,"$33,998*",59K miles,,"6-cyl, Turbo Gas, 3.0L | All Wheel Drive | Automatic | White/Black |  | "
25515917.0,2018 Honda Civic LX,"$20,998*",44K miles,,"31 city/40 hwy | 4-cyl, Turbo Gas, 1.5L | Front Wheel Drive | Automatic | Black/Black |  | "
25516431.0,2022 Toyota Corolla LE,"$22,998*",6K miles,,"30 city/38 hwy | 4-cyl, Gas, 1.8L | Front Wheel Drive | Automatic | Silver/Black |  | "
25317288.0,2019 Subaru Crosstrek Limited,"$26,998*",48K miles,,"27 city/33 hwy | 4-cyl, Gas, 2.0L | All Wheel Drive | Automatic | Blue/Black |  | "
25344950.0,2018 Honda Odyssey Elite,"$28,998*",68K miles,,"19 city/28 hwy | 6-cyl, Gas, 3.5L | Front Wheel Drive | Automatic | Gray/Brown |  | "
25516722.0,2019 Mazda CX-5 Grand Touring,Price unavailable*,80K miles,,"24 city/30 hwy | 4-cyl, Gas, 2.5L | All Wheel Drive | Automatic | Gray/Black |  | "
25317643.0,2019 Subaru Outback 3.6R Limited,"$27,998*",35K miles,,"20 city/27 hwy | 6-cyl, Gas, 3.6L | All Wheel Drive | Automatic | Gold/Tan |  | "
25562146.0,2021 Audi Q5 Premium Plus,"$33,998*",26K miles,,"4-cyl, Turbo Gas, 2.0L | All Wheel Drive | Automatic | White/Black |  | "
25344686.0,2019 Nissan Altima Platinum,"$22,998*",43K miles,,"25 city/35 hwy | 4-cyl, Gas, 2.5L | All Wheel Drive | Automatic | White/Gray |  | "
25344662.0,2020 Mercedes-Benz CLA35 AMG,Price unavailable*,22K miles,,"23 city/29 hwy | 4-cyl, Turbo Gas, 2.0L | All Wheel Drive | Automatic | Red/Black |  | "
25305832.0,2019 Mazda CX-5 Grand Touring,"$24,998*",17K miles,,"25 city/31 hwy | 4-cyl, Gas, 2.5L | Front Wheel Drive | Automatic | Black/Black |  | "
25317393.0,2023 Honda Accord EX,"$26,998*",7K miles,,"29 city/37 hwy | 4-cyl, Turbo Gas, 1.5L | Front Wheel Drive | Automatic | White/Black |  | "
25040243.0,2017 Chevrolet Suburban 1500 Premier,"$36,998*",74K miles,,"15 city/22 hwy | 8-cyl, Gas, 5.3L | Four Wheel Drive | Automatic | Black/Black |  | "
25317524.0,2021 GMC Sierra 1500 AT4,"$53,998*",26K miles,,"8-cyl, Gas, 6.2L | Four Wheel Drive | Automatic | 5.5 ft | Gray/Black |  | "
25493542.0,2018 Honda CR-V LX,"$18,998*",86K miles,,"26 city/32 hwy | 4-cyl, Gas, 2.4L | Front Wheel Drive | Automatic | Silver/Gray |  | "
25079749.0,2017 Chevrolet Suburban 1500 LT,Price unavailable*,43K miles,,"15 city/22 hwy | 8-cyl, Gas, 5.3L | Four Wheel Drive | Automatic | Gray/Gray |  | "
25515721.0,2020 Nissan Armada SL,"$31,998*",26K miles,,"14 city/19 hwy | 8-cyl, Gas, 5.6L | Rear Wheel Drive | Automatic | White/Black |  | "
25306832.0,2023 Toyota Camry SE,"$26,998*",22K miles,,"4-cyl, Gas, 2.5L | Front Wheel Drive | Automatic | White/Black |  | "
25079856.0,2021 Honda HR-V EX,"$23,998*",22K miles,,"26 city/31 hwy | 4-cyl, Gas, 1.8L | All Wheel Drive | Automatic | Gray/Black |  | "
25575063.0,2018 Jeep Grand Cherokee Altitude,"$27,998*",35K miles,,"18 city/25 hwy | 6-cyl, Gas, 3.6L | Four Wheel Drive | Automatic | Black/Black |  | "
25305835.0,2022 Toyota Corolla LE,Price unavailable*,13K miles,,"30 city/38 hwy | 4-cyl, Gas, 1.8L | Front Wheel Drive | Automatic | Blue/Black |  | "
